nombre,nombre_corto,rol,dialogo,num_debate
DENISE MAERKER,NA,Moderador,"Muy buenas noches, bienvenidos al primer debate presidencial 2018. Estamos en el Palacio de Minería de la Ciudad de México y agradecemos a la Universidad Nacional Autónoma de México por recibirnos en este espléndido recinto. El tema general de este primer debate es política y gobierno y será abordado en tres bloques: primero seguridad pública y violencia, después combate a la corrupción e impunidad, al final democracia, pluralismo y grupos en situación de vulnerabilidad. El formato de este debate, los bloques y segmentos, la duración de las participaciones y el rol de los moderadores fue aprobado por representantes de todos los candidatos. El Instituto Nacional Electoral agradece la asistencia a este debate a Margarita Zavala, candidata independiente, Margarita, candidata, buenas noches.",1
MARGARITA ZAVALA,Zavala,Candidato,"Buenas noches, muchas gracias.",1
DENISE MAERKER,NA,Moderador,"José Antonio Meade, candidato de la coalición Todos por México, candidato.",1
JOSÉ ANTONIO MEADE,Meade,Candidato,"Denise, buenas noches, Sergio, Azucena, buenas noches.",1
DENISE MAERKER,NA,Moderador,"Ricardo Anaya, de la coalición Por México al Frente, candidato.",1
RICARDO ANAYA,Anaya,Candidato,Muy buenas noches a todas y a todos.,1
DENISE MAERKER,NA,Moderador,"Candidato Andrés Manuel López Obrador, de la coalición Juntos haremos Historia.",1
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Muy buenas noches.,1
DENISE MAERKER,NA,Moderador,"Candidatos Jaime Rodríguez Calderón, candidato independiente.",1
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Buenas noches México, y todos buenas noches.",1
DENISE MAERKER,NA,Moderador,"Buenas noches. Me acompañan Azucena Uresti y Sergio Sarmiento en la moderación y estas van a ser las reglas del primer segmento del primer bloque sobre Seguridad Pública y violencia, adelante.",1
VOZ EN OFF,NA,Voz en Off,"La moderación hará una pregunta que será la misma para los cinco participantes, según el orden en el que fueron sorteados, la y los candidatos tendrán hasta un minuto para responder la pregunta inicial y hasta un minuto y medio para las preguntas de seguimiento de la moderación. Adicionalmente los participantes tendrán derecho a dos réplicas de hasta 30 segundos cada una a lo largo del segmento.",1
SERGIO SARMIENTO,NA,Moderador,"Candidato Jaime Rodríguez Calderón, después de una disminución entre 2011 y 2014, la violencia en nuestro país medida por los homicidios dolosos ha vuelto a subir y ha alcanzado el mayor nivel de las décadas recientes, todos los candidatos de todos los partidos en el pasado han prometido tomar medidas concretas para disminuir la violencia, pero hasta ahora ninguna ha funcionado. La pregunta general para usted y para el resto de los candidatos, ¿qué medidas tomará usted como presidente de la República para combatir la violencia y qué le hace pensar que tendrá éxito donde todos los demás han fracasado? En primer lugar un minuto, adelante Jaime Rodríguez.",1
